Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
101,20.82,1.061,1.011,6.56,87.45,11.74,28.39,60,1.045,70,1.5,Specific Gravity,All Grain,0.35,22.22,American Amber Ale
109,21,1.069,1.018,6.79,70.28,11.44,26.5,60,1.055,72,3,Specific Gravity,All Grain,0.75,20,American IPA
111,11.36,1.042,1.011,3.96,39.39,7.36,15.14,60,1.031,65,2.285,Specific Gravity,All Grain,0.35,18.89,American Pale Ale
113,18,1.057,1.014,5.62,57.46,7.19,28.5,60,1.036,55,3,Specific Gravity,All Grain,0.75,20,American IPA
114,11.5,1.06,1.011,6.4,56.95,7.08,18,60,1.038,70,3,Specific Gravity,All Grain,1,23,American IPA
122,15,1.056,1.01,6.01,26.43,12.84,17,60,1.049,60,3,Specific Gravity,All Grain,0.35,18,American Amber Ale
123,12,1.072,1.018,7.11,63.51,10.1,28.5,180,1.03,35,3,Specific Gravity,All Grain,0.35,25,American IPA
125,10,1.046,1.009,4.9,36.32,5.79,10,60,1.046,70,5,Specific Gravity,All Grain,0.5,20,American Pale Ale
126,23,1.063,1.014,6.37,61.92,6.74,27,70,1.054,75,4.5,Specific Gravity,All Grain,1,19,American IPA
129,18.93,1.078,1.019,7.66,60.73,7.24,13.25,60,1.111,75,1.5,Specific Gravity,All Grain,0.35,23.89,American IPA
137,22,1.048,1.013,4.56,19.76,4.58,30,70,1.035,70,5,Specific Gravity,All Grain,0.75,20,Witbier
141,22.71,1.071,1.02,6.74,70.15,5.57,32.18,60,1.05,57,1.4,Specific Gravity,All Grain,1,18.89,American Pale Ale
149,21,1.049,1.009,5.29,32.87,5.8,28.5,60,1.036,70,2.5,Specific Gravity,All Grain,0.5,18,American Pale Ale
157,56.78,1.05,1.011,5.06,10.75,5.49,64.35,60,1.044,70,1.75,Specific Gravity,All Grain,0.75,20,Blonde Ale
167,20.82,1.068,1.012,7.33,90.68,5.02,26.5,70,1.053,71,1.5,Specific Gravity,All Grain,0.5,20,Saison
168,20.82,1.059,1.017,5.41,29.78,27.27,24.61,60,1.05,70,2,Specific Gravity,All Grain,0.35,18.33,American Brown Ale
169,20.82,1.047,1.011,4.77,12,3.37,28.39,60,1.035,70,1.5,Specific Gravity,All Grain,0.75,14.44,Blonde Ale
171,20.82,1.058,1.016,5.47,73.57,18.69,28.39,60,1.042,70,1.33,Specific Gravity,All Grain,0.35,21.11,American IPA
174,20.82,1.061,1.013,6.18,77.02,7.01,28.39,60,1.044,60,1.25,Specific Gravity,All Grain,0.35,21.11,American IPA
184,21,1.057,1.012,5.9,52.52,8.39,32,60,1.037,70,3.4,Specific Gravity,All Grain,0.5,16,American Pale Ale
187,22,1.043,1.008,4.53,56.03,5.01,25.5,60,1.037,70,2.7,Specific Gravity,All Grain,0.35,19,American IPA
197,28,1.053,1.013,5.22,70.01,9.43,28.5,60,1.052,62.3,3.4,Specific Gravity,All Grain,0.75,20,American IPA
200,11.92,1.065,1.021,5.73,48.89,8.64,14.2,60,1.055,75,1.5,Specific Gravity,All Grain,0.35,22.22,American IPA
202,18.93,1.065,1.016,6.35,87.09,8.22,24.61,90,1.05,70,1.4,Specific Gravity,All Grain,0.5,21,American IPA
213,18.93,1.07,1.021,6.38,80,50,24.98,90,1.053,72.5,1.25,Specific Gravity,All Grain,0.75,23.89,American Stout
215,18.93,1.065,1.016,6.37,79.33,15.08,18.93,60,1.06,30,1.2,Specific Gravity,All Grain,0.5,20,American Amber Ale
221,20.82,1.052,1.013,5.08,272.27,10.43,28.39,60,1.038,35,1.5,Specific Gravity,All Grain,0.75,18.33,American IPA
223,22.71,1.06,1.011,6.43,34.04,16.51,30.28,60,1.045,70,1.5,Specific Gravity,All Grain,0.75,19.44,American Brown Ale
226,26,1.046,1.012,4.53,49.54,4.74,30,60,1.04,85,3.2,Specific Gravity,All Grain,0.75,20,American Pale Ale
239,41.64,1.068,1.013,7.18,51.32,8.96,47.32,60,1.059,72,1.5,Specific Gravity,All Grain,0.75,23.89,American IPA
243,20.82,1.066,1.015,6.61,82.59,7.84,28.39,60,1.048,70,1.25,Specific Gravity,All Grain,0.75,18.89,American IPA
246,21,1.056,1.014,5.59,33.06,16.22,23,60,1.051,74,1.5,Specific Gravity,All Grain,1.25,21,American Amber Ale
255,20.82,1.001,1,0.08,0,0.41,28.39,60,1.001,70,1.33,Specific Gravity,All Grain,0.35,18.89,American IPA
258,20.82,1.059,1.014,5.88,28.43,6.74,24.61,60,1.05,75,1.5,Specific Gravity,All Grain,1,20,American IPA
270,22,1.054,1.014,5.35,35.77,7.94,28.5,90,1.042,75,3,Specific Gravity,All Grain,0.75,20,American Pale Ale
278,50,1.064,1.014,6.5,49.68,5.75,57,90,1.056,84,5,Specific Gravity,All Grain,1,20,American IPA
283,23.5,1.046,1.01,4.69,10.29,2.88,36,85,1.03,72,4,Specific Gravity,All Grain,0.5,22,Blonde Ale
290,30.28,1.049,1.008,5.39,19.79,3.2,34.07,60,1.043,78,1.5,Specific Gravity,All Grain,0.75,32.22,American Pale Ale
293,20,1.046,1.012,4.5,15.39,3.69,27,84,1.034,70,2.8,Specific Gravity,All Grain,0.35,20,Witbier
296,20,1.06,1.011,6.44,65.38,6.81,27,60,1.044,65,3.5,Specific Gravity,All Grain,0.5,19,American IPA
305,25,1.048,1.012,4.76,26.07,4.13,25,60,1.048,75,5,Specific Gravity,All Grain,0.5,22,American Pale Ale
306,20.82,1.053,1.013,5.27,29.38,5.1,28.39,60,1.039,75,1.25,Specific Gravity,All Grain,0.35,15.56,Blonde Ale
307,41.64,1.05,1.01,5.28,48.66,5.5,45.42,60,1.046,81,1.5,Specific Gravity,All Grain,0.75,-8.33,American Light Lager
309,37.85,1.073,1.017,7.25,93.88,6.08,43.53,60,1.063,70,1.25,Specific Gravity,All Grain,0.5,20,American IPA
314,26.5,1.072,1.017,7.24,8.03,5.68,32.18,60,1.059,60,1.5,Specific Gravity,All Grain,0.75,20,American Light Lager
315,18.93,1.07,1.013,7.44,66.16,6.56,26.5,60,1.05,70,1.3,Specific Gravity,All Grain,0.35,17.78,American IPA
319,40,1.051,1.013,5.03,55.81,5.01,52,80,1.039,70,5.8,Specific Gravity,All Grain,0.75,16,American Pale Ale
322,19.87,1.054,1.01,5.73,35.62,11.26,27.44,60,1.039,63,1.5,Specific Gravity,All Grain,0.35,21.11,American Amber Ale
334,20.82,1.053,1.013,5.23,22.69,4.66,28.69,60,1.033,60,1.5,Specific Gravity,All Grain,0.35,22.22,Blonde Ale
337,27,1.06,1.016,5.69,47.16,4.68,30,60,1.054,88,3,Specific Gravity,All Grain,0.75,19,American IPA
339,18.93,1.07,1.02,6.5,45.03,10.21,25.55,90,1.051,70,1.5,Specific Gravity,All Grain,0.75,18.89,American IPA
340,18,1.062,1.015,6.16,37.11,3.01,25,90,1.045,75,3,Specific Gravity,All Grain,0.75,19,American IPA
345,60,1.041,1.01,4.05,29.3,5.75,80,60,1.031,70,3,Specific Gravity,All Grain,0.5,18,American Pale Ale
357,21.58,1.055,1.01,5.94,37.46,9.01,30.28,80,1.039,70,1.3,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
359,20.82,1.052,1.012,5.23,15.49,5.1,28.39,60,1.038,70,1.5,Specific Gravity,All Grain,1,20,Blonde Ale
361,20.82,1.064,1.016,6.33,58.21,15.35,26.5,90,1.051,75,1.5,Specific Gravity,All Grain,0.75,18.33,American IPA
363,20.82,1.088,1.02,8.95,154.68,5.61,26.5,90,1.069,70,1.25,Specific Gravity,All Grain,1.25,22.22,Imperial IPA
364,20.82,1.065,1.015,6.54,42.79,5.41,28.39,70,1.047,80,1.33,Specific Gravity,All Grain,1,16.67,American IPA
376,22.71,1.056,1.007,6.45,31.91,3.59,26.5,60,1.048,75,1.5,Specific Gravity,All Grain,1,23.89,Saison
388,20.82,1.061,1.014,6.27,53.21,9.52,28.39,90,1.045,70,1.25,Specific Gravity,All Grain,0.75,20,American IPA
393,22,1.072,1.015,7.51,101.93,7.87,27,75,1.059,70,3,Specific Gravity,All Grain,0.5,20,Imperial IPA
401,3.79,1.054,1.011,5.63,27.25,16.14,4.73,60,1.043,75,1.5,Specific Gravity,All Grain,0.5,15.56,Irish Red Ale
402,431.54,1.056,1.013,5.58,45.02,9.27,469.39,60,1.051,75,1.5,Specific Gravity,All Grain,1,20,American Pale Ale
406,13.25,1.046,1.009,4.83,4.92,3.17,11.36,60,1.054,75,1.5,Specific Gravity,All Grain,0.35,20.56,American Light Lager
411,60,1.045,1.01,4.56,25.8,11.1,80,60,1.033,67,3,Specific Gravity,All Grain,0.75,18,Irish Red Ale
413,20.82,1.054,1.012,5.42,40.69,4.88,26.5,60,1.042,70,1.44,Specific Gravity,All Grain,0.75,20,American Pale Ale
415,94.64,1.067,1.015,6.89,14.53,4.33,132.49,60,1.048,72,1.5,Specific Gravity,All Grain,0.5,18.89,Witbier
418,18.93,1.068,1.017,6.76,87.14,4.79,25.36,60,1.051,67,1.25,Specific Gravity,All Grain,0.75,18.89,American IPA
419,19.99,1.07,1.013,7.51,155.26,6.33,24.98,60,1.056,70,1.5,Specific Gravity,All Grain,0.75,19.44,American IPA
422,21.77,1.045,1.01,4.58,16.06,4.02,27.44,60,1.036,75,1.5,Specific Gravity,All Grain,1.5,21.11,Witbier
424,13.2,1.06,1.011,6.41,68.27,5.49,19,90,1.041,65,4,Specific Gravity,All Grain,0.75,19,American IPA
426,20.82,1.072,1.017,7.23,64.45,16.47,24.61,90,1.061,70,1.5,Specific Gravity,All Grain,1.25,19.44,American Amber Ale
427,21,1.041,1.008,4.37,34.77,6.47,28.5,60,1.03,55,3,Specific Gravity,All Grain,1,19,American Pale Ale
430,20.82,1.058,1.007,6.71,35.88,50,28.39,60,1.043,70,1.25,Specific Gravity,All Grain,0.5,21.11,American Stout
433,20.82,1.063,1.013,6.57,64.04,9.45,26.5,75,1.049,70,1.5,Specific Gravity,All Grain,0.75,20,American IPA
449,62.46,1.064,1.013,6.7,63.68,6.14,71.92,60,1.055,75,1.3,Specific Gravity,All Grain,0.75,18.89,American IPA
450,21,1.074,1.021,6.89,109.12,17.25,35,90,1.044,65,3,Specific Gravity,All Grain,1,18,American IPA
451,47,1.059,1.014,5.96,25.41,4.91,50,60,1.056,75,3,Specific Gravity,All Grain,0.35,20,American Pale Ale
457,20.82,1.063,1.012,6.62,70.78,5.01,30.28,90,1.043,67,1.5,Specific Gravity,All Grain,0.5,20,American IPA
466,11.36,1.051,1.01,5.4,21.03,5.2,15.14,60,1.038,70,1.5,Specific Gravity,All Grain,0.35,23.89,Blonde Ale
469,24,1.048,1.008,5.23,41.05,5.24,28.5,70,1.04,74,2.5,Specific Gravity,All Grain,0.75,18,American Pale Ale
471,23,1.058,1.011,6.13,50.77,7.6,28,60,1.047,75,3,Specific Gravity,All Grain,0.5,20,American IPA
473,20.82,1.069,1.014,7.23,63.67,30.23,28.39,60,1.051,75,1.5,Specific Gravity,All Grain,0.75,20,American IPA
476,21,1.05,1.011,5.16,31.47,13.65,24,60,1.044,68,2.5,Specific Gravity,All Grain,0.75,20,American Amber Ale
479,28.39,1.053,1.011,5.49,47.56,5.1,38.42,60,1.039,72,1.3,Specific Gravity,All Grain,0.75,20,American Pale Ale
482,12,1.052,1.012,5.25,39.1,13.62,16,60,1.039,65,4,Specific Gravity,All Grain,0.5,22,American Pale Ale
484,26,1.052,1.01,5.59,32.01,6.9,28.5,90,1.048,74,3,Specific Gravity,All Grain,0.35,18,Saison
486,94.64,1.085,1.018,8.79,164.54,12.48,113.56,60,1.071,80,1.2,Specific Gravity,All Grain,1.25,20,American IPA
488,11.36,1.052,1.009,5.6,29.81,3.8,15.14,60,1.039,65,1.25,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
495,20.82,1.057,1.017,5.24,17.02,17.63,26.5,60,1.045,75,1.5,Specific Gravity,All Grain,0.5,19.44,Irish Red Ale
505,46,19.5469,4.44596,8.33,62.92,13.28,55,90,16.5,70,2.1,Plato,All Grain,1.25,20,American Amber Ale
512,85,1.05,1.01,5.34,50.41,9.58,95,60,1.045,59,2.5,Specific Gravity,All Grain,0.35,18,Irish Red Ale
514,20.82,1.057,1.012,5.97,41.83,5.29,28.39,60,1.042,69,1.6,Specific Gravity,All Grain,0.75,20.56,American Pale Ale
519,22.71,1.049,1.009,5.19,35.88,11.08,32.18,90,1.035,75,1.5,Specific Gravity,All Grain,1,15.56,American Pale Ale
521,25,1.054,1.012,5.57,25.9,7.79,27,90,1.05,70,3.1,Specific Gravity,All Grain,1,21,American Pale Ale
526,20.82,1.062,1.014,6.37,18.48,4.42,30.28,90,1.043,77,1.5,Specific Gravity,All Grain,0.35,22.78,Saison
528,22,1.065,1.016,6.36,36.42,5.75,29.4,30,1.048,75,3.3,Specific Gravity,All Grain,0.35,19,American IPA
538,20.82,1.062,1.016,6.01,41.99,5.23,26.5,60,1.049,49,1.5,Specific Gravity,All Grain,0.75,17.22,Blonde Ale
544,21.77,1.076,1.014,8.09,107.72,10.22,32.18,60,1.049,63,1.1,Specific Gravity,All Grain,1,20,Imperial IPA
545,39.75,1.055,1.015,5.18,36.35,6.91,47.32,90,1.046,60,1.3,Specific Gravity,All Grain,1,21.11,Saison
550,20.82,1.019,1.005,1.86,32.4,4.58,28.39,60,1.014,35,1.5,Specific Gravity,All Grain,0.35,22.22,American Pale Ale
553,64.35,1.054,1.014,5.26,84.31,12.02,77.6,60,1.044,68,1.5,Specific Gravity,All Grain,1,18.33,American IPA
555,20.82,1.047,1.011,4.69,81.51,11.47,20.82,60,1.047,50,1.5,Specific Gravity,All Grain,0.5,21.11,American IPA
559,21,1.05,1.011,5.16,22.33,3.11,24,60,1.044,70,3,Specific Gravity,All Grain,0.35,21,American Light Lager
563,45.42,1.045,1.009,4.67,31.68,3.01,56.78,60,1.036,72,1.5,Specific Gravity,All Grain,0.35,20,American Pale Ale
569,18.93,1.043,1.011,4.23,10.16,3.55,24.61,60,1.033,65,3,Specific Gravity,All Grain,0.75,21.11,Witbier
570,35.96,1.048,1.012,4.79,10.09,19.92,41.64,60,1.042,88,1.5,Specific Gravity,All Grain,0.35,18.33,American Brown Ale
571,22.71,1.095,1.018,10,77.47,12.08,34.07,75,1.063,75,1.5,Specific Gravity,All Grain,0.75,18.33,Imperial IPA
572,2000,1.048,1.008,5.22,66.66,2.53,2075,60,1.046,82,3,Specific Gravity,All Grain,0.35,18,American Pale Ale
573,20.82,1.053,1.01,5.57,41.69,5.53,28.39,60,1.039,50,1.5,Specific Gravity,All Grain,0.75,20,American IPA
578,37.85,1.051,1.016,4.56,23.55,12.04,41.64,60,1.046,70,1.5,Specific Gravity,All Grain,1.5,11.11,American Light Lager
585,25,1.065,1.011,7.05,53.35,10.2,33,60,1.049,75,3,Specific Gravity,All Grain,1,19.8,American IPA
590,18.93,1.062,1.016,6.05,113.73,7.74,26.5,60,1.045,75,1.25,Specific Gravity,All Grain,0.5,20,American IPA
605,30,17.4085,4.34571,7.15,84.3,5.72,43.7,90,12.2,65,2.3,Plato,All Grain,0.75,18,American IPA
608,23,1.062,1.012,6.55,57.21,8.09,29,75,1.049,71,2,Specific Gravity,All Grain,1,18,American IPA
614,20.82,1.052,1.011,5.27,36.61,9.28,28.39,60,1.038,60,1,Specific Gravity,All Grain,1,21.11,American Pale Ale
618,20,1.073,1.024,6.4,62.53,6.59,24,60,1.058,60,3,Specific Gravity,All Grain,1,18,American IPA
620,36,1.065,1.018,6.1,99.46,13.25,48,90,1.048,35,2,Specific Gravity,All Grain,0.35,18,American IPA
627,7.57,1.062,1.02,5.51,78.67,3.94,7.57,60,1.062,75,2,Specific Gravity,All Grain,0.5,18.89,American Pale Ale
645,20.82,1.063,1.016,6.26,23.95,5.05,27.25,60,1.048,82,1.5,Specific Gravity,All Grain,0.5,21.11,American Pale Ale
648,18.93,1.052,1.013,5.02,23.3,4.67,24.61,90,1.04,75,1.5,Specific Gravity,All Grain,0.75,18.33,Blonde Ale
649,30,1.066,1.017,6.44,57.42,5.57,33,60,1.06,71,3,Specific Gravity,All Grain,0.35,20,American IPA
653,37.85,1.065,1.008,7.54,128.09,9.45,49.21,75,1.043,65,1.2,Specific Gravity,All Grain,1.25,18.33,Imperial IPA
659,18.93,1.042,1.01,4.11,62.82,23.02,30.28,60,1.026,70,1.5,Specific Gravity,All Grain,0.35,21.67,American Pale Ale
667,20.82,1.079,1.02,7.77,50.92,25.17,28.39,60,1.058,75,1.5,Specific Gravity,All Grain,1,21.11,American Brown Ale
670,18.93,1.073,1.013,7.81,91.14,6.68,24.61,90,1.056,72.8,1.5,Specific Gravity,All Grain,0.35,20,Imperial IPA
671,21.77,1.069,1.013,7.27,146.37,7.46,30.28,60,1.049,70,1.45,Specific Gravity,All Grain,1,18.33,American IPA
673,18.93,1.06,1.013,6.15,84.05,39.35,22.71,60,1.05,70,1.25,Specific Gravity,All Grain,0.35,21.11,American IPA
674,21,1.06,1.011,6.47,60.76,8.31,28.5,60,1.044,60,3,Specific Gravity,All Grain,0.5,18,American IPA
675,23.7,1.046,1.006,5.27,13.39,3.42,26.7,60,1.04,72,2.7,Specific Gravity,All Grain,1,18,Witbier
679,20.82,1.06,1.012,6.35,71.53,4.03,28.39,60,1.044,70,1.5,Specific Gravity,All Grain,0.75,20,American IPA
688,44,1.067,1.019,6.57,45.01,4.93,52.3,70,1.056,65,4,Specific Gravity,All Grain,0.75,20,Saison
690,18.93,1.057,1.011,6.04,39.93,15.04,22.98,60,1.047,65,1.5,Specific Gravity,All Grain,0.5,19.44,American Brown Ale
691,20.82,1.089,1.019,9.09,179.81,14.41,30.28,60,1.061,75,1.5,Specific Gravity,All Grain,0.75,17.78,Imperial IPA
706,19.87,1.064,1.014,6.59,110.91,12.41,26.5,90,1.048,73,1.25,Specific Gravity,All Grain,1,21.11,American IPA
715,20.82,1.075,1.019,7.33,67.83,9.52,26.5,60,1.059,65,1.5,Specific Gravity,All Grain,1,21.11,American IPA
717,23.66,1.065,1.017,6.35,70.1,19.44,29.34,60,1.053,71,1,Specific Gravity,All Grain,1.25,22.22,American IPA
718,18.93,1.076,1.017,7.65,111.59,8.54,28.39,60,1.05,65,1.5,Specific Gravity,All Grain,1,21.11,American IPA
723,50,1.05,1.01,5.22,20.56,9.19,70,60,1.036,75,2.26,Specific Gravity,All Grain,1.25,19,American Amber Ale
726,19.87,1.066,1.011,7.22,60.38,7.27,30.28,70,1.044,70,1.3,Specific Gravity,All Grain,0.75,19.44,American IPA
731,9.46,1.057,1.01,6.19,60.94,6,12.3,60,1.044,70,1.5,Specific Gravity,All Grain,0.35,21.11,American IPA
732,18.93,1.063,1.014,6.34,129.23,9.82,22.71,60,1.052,60,1.3,Specific Gravity,All Grain,0.35,20,American IPA
738,22.71,1.067,1.012,7.23,61.09,15.92,28.39,60,1.054,70,1.25,Specific Gravity,All Grain,1.25,20,American IPA
743,13.25,1.057,1.018,5.09,34.35,12.21,21.5,90,1.035,70,1.25,Specific Gravity,All Grain,1,20,American Pale Ale
747,18.93,1.058,1.014,5.68,40.39,11.08,26.5,60,1.041,70,1.5,Specific Gravity,All Grain,0.5,20,American Pale Ale
757,20.82,1.065,1.016,6.38,92.15,6.52,26.5,60,1.051,75,1.5,Specific Gravity,All Grain,0.75,18.89,American IPA
759,30,1.047,1.008,5.05,40.57,9.08,30,60,1.047,70,3,Specific Gravity,All Grain,0.75,21,American Pale Ale
765,20,1.053,1.007,6.05,34.32,5.17,28,60,1.038,65,3,Specific Gravity,All Grain,0.35,22,Saison
767,18.93,1.046,1.013,4.32,41.87,9.51,26.5,60,1.033,70,1.25,Specific Gravity,All Grain,0.75,18.33,American Pale Ale
779,11.36,1.061,1.019,5.55,53.36,11.87,17.03,60,1.041,70,1.5,Specific Gravity,All Grain,0.75,18.89,American IPA
780,22.33,1.062,1.01,7,71.41,8.85,26.5,75,1.052,69,1.5,Specific Gravity,All Grain,0.35,18.33,American IPA
786,22.71,1.046,1.013,4.33,46.23,6.78,27.25,60,1.038,70,1.5,Specific Gravity,All Grain,0.35,15.56,American Pale Ale
787,20.82,1.06,1.016,5.79,27.7,21.15,26.5,90,1.047,73,1.35,Specific Gravity,All Grain,0.75,20,Irish Red Ale
791,20.82,1.063,1.015,6.31,60.1,44.99,28.39,60,1.046,68,1.33,Specific Gravity,All Grain,1,19.44,American Stout
797,41.64,1.082,1.032,6.54,55,7.67,53,90,1.064,80,1.5,Specific Gravity,All Grain,0.5,20,American IPA
806,22,1.046,1.011,4.65,46.27,4.19,26,60,1.039,75,6.42,Specific Gravity,All Grain,0.75,16,American Pale Ale
812,545,1.055,1.01,5.87,29.85,9.7,580,60,1.052,86,3,Specific Gravity,All Grain,0.35,18,American Pale Ale
815,51.1,1.053,1.015,5.21,55.41,5.17,39.75,60,1.069,75,1.25,Specific Gravity,All Grain,0.5,19.44,American Pale Ale
820,20.82,1.056,1.014,5.6,20.78,42.4,28.39,60,1.038,75,1.75,Specific Gravity,All Grain,1,20,American Brown Ale
822,24.61,1.061,1.016,5.9,41.93,5.93,28.39,60,1.053,70,1.5,Specific Gravity,All Grain,0.75,20,American IPA
825,41.64,1.049,1.009,5.26,76.73,4.76,49.21,60,1.041,75,1.32,Specific Gravity,All Grain,0.75,20,American IPA
827,21,1.054,1.01,5.81,43.32,22.57,26,40,1.044,70,3,Specific Gravity,All Grain,0.5,20,American Brown Ale
828,20.82,1.051,1.014,4.85,36.18,29.69,28.39,60,1.038,70,1.5,Specific Gravity,All Grain,0.5,20,American Brown Ale
831,42,1.066,1.013,6.95,34.99,6.9,55,90,1.05,70,4,Specific Gravity,All Grain,2,20,American Pale Ale
832,10,1.048,1.011,4.82,28.5,5.86,13.5,60,1.035,70,3,Specific Gravity,All Grain,0.75,17,American Pale Ale
837,22.71,1.057,1.013,5.77,42.09,6.1,26.5,60,1.049,70,1.5,Specific Gravity,All Grain,1.25,19.44,American Pale Ale
839,681.37,1.076,1.018,7.57,161.94,5.53,688.94,90,1.069,80,1.5,Specific Gravity,All Grain,0.5,17.78,American IPA
840,11.36,1.047,1.012,4.63,33.99,5.9,18.93,60,1.028,60,1.25,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
849,20.82,1.057,1.013,5.82,78.42,18.71,28.39,60,1.042,70,1.5,Specific Gravity,All Grain,0.75,21.11,American Brown Ale
851,18.93,1.054,1.013,5.42,55.4,43.17,26.5,60,1.039,70,1.5,Specific Gravity,All Grain,0.5,20,American Stout
852,20.82,1.056,1.013,5.6,34.3,6.76,28.39,90,1.041,75,14,Specific Gravity,All Grain,0.5,18.33,American Pale Ale
856,20.82,1.063,1.018,5.96,61.03,5.48,28.39,60,1.046,70,1.5,Specific Gravity,All Grain,0.75,22.22,American IPA
864,20.82,1.051,1.012,5.03,12.17,3.83,24.61,90,1.043,70,1.4,Specific Gravity,All Grain,0.75,21.11,Witbier
867,20.82,1.068,1.016,6.85,63.12,7.34,28.39,60,1.05,70,1.5,Specific Gravity,All Grain,0.5,20,American IPA
869,22.71,1.048,1.012,4.68,40.51,3.8,28.39,60,1.038,60,1.5,Specific Gravity,All Grain,0.5,18.33,Saison
870,23,1.055,1.012,5.6,30.12,6.96,25,60,1.051,75,3,Specific Gravity,All Grain,1,21,American Pale Ale
874,41.64,1.064,1.018,6.02,45.09,12.59,51.1,90,1.052,75,1.8,Specific Gravity,All Grain,1,21.11,Irish Red Ale
879,20.82,1.07,1.021,6.45,18.85,6.25,28.39,60,1.052,85,1.5,Specific Gravity,All Grain,1.25,18.33,American Light Lager
882,3.79,16.1661,3.37306,6.95,66.34,17.05,7.57,60,8.3,69,1.5,Plato,All Grain,0.35,19.44,American IPA
892,302.83,13.7107,3.2403,5.63,32.23,7.2,333.12,90,12.5,80,1.5,Plato,All Grain,1.25,20,Blonde Ale
894,23,1.057,1.013,5.82,160.25,12.79,27,60,1.048,70,2.16,Specific Gravity,All Grain,2,20,American Pale Ale
